Vardas                                  Pavarde                                 ND0                 ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egz       
Vardas59                                Pavarde59                               7                   1                   7                   4                   5                   1                   7                   8                   
Vardas60                                Pavarde60                               2                   5                   4                   5                   3                   0                   1                   9                   
Vardas61                                Pavarde61                               4                   5                   9                   3                   9                   6                   6                   4                   
Vardas62                                Pavarde62                               0                   8                   2                   0                   6                   0                   7                   2                   
Vardas63                                Pavarde63                               9                   8                   1                   1                   6                   1                   1                   8                   
Vardas64                                Pavarde64                               1                   1                   5                   0                   0                   8                   3                   7                   
Vardas65                                Pavarde65                               0                   1                   3                   4                   3                   7                   7                   5                   
Vardas66                                Pavarde66                               1                   2                   6                   6                   5                   4                   1                   7                   
Vardas67                                Pavarde67                               1                   3                   4                   8                   6                   1                   5                   0                   
Vardas68                                Pavarde68                               6                   5                   3                   1                   0                   1                   9                   5                   
Vardas69                                Pavarde69                               7                   6                   8                   5                   4                   7                   9                   6                   
Vardas70                                Pavarde70                               6                   6                   6                   7                   0                   4                   1                   0                   
Vardas71                                Pavarde71                               8                   1                   4                   8                   8                   4                   5                   7                   
Vardas72                                Pavarde72                               9                   8                   4                   5                   8                   8                   9                   4                   
Vardas73                                Pavarde73                               7                   0                   4                   0                   6                   5                   3                   8                   
Vardas74                                Pavarde74                               5                   1                   2                   4                   6                   7                   5                   5                   
Vardas75                                Pavarde75                               0                   5                   2                   0                   7                   7                   9                   7                   
Vardas76                                Pavarde76                               5                   3                   9                   9                   4                   9                   1                   5                   
Vardas77                                Pavarde77                               9                   8                   3                   0                   9                   0                   7                   6                   
Vardas78                                Pavarde78                               8                   3                   8                   6                   1                   9                   6                   7                   
Vardas79                                Pavarde79                               8                   9                   7                   5                   5                   2                   4                   9                   
Vardas80                                Pavarde80                               4                   4                   7                   9                   5                   5                   6                   1                   
Vardas81                                Pavarde81                               5                   9                   1                   3                   8                   8                   9                   4                   
Vardas82                                Pavarde82                               3                   9                   5                   1                   7                   4                   5                   1                   
Vardas83                                Pavarde83                               4                   6                   0                   3                   2                   2                   1                   4                   
Vardas84                                Pavarde84                               7                   7                   0                   9                   5                   7                   2                   9                   
Vardas85                                Pavarde85                               7                   6                   8                   2                   9                   9                   8                   3                   
Vardas86                                Pavarde86                               7                   1                   2                   6                   1                   7                   6                   5                   
Vardas87                                Pavarde87                               0                   4                   5                   1                   2                   3                   7                   2                   
Vardas88                                Pavarde88                               4                   1                   8                   2                   6                   0                   3                   9                   
Vardas89                                Pavarde89                               4                   9                   6                   5                   1                   3                   2                   6                   
Vardas90                                Pavarde90                               9                   0                   0                   3                   9                   5                   3                   1                   
Vardas91                                Pavarde91                               1                   2                   6                   9                   1                   9                   0                   6                   
Vardas92                                Pavarde92                               1                   7                   3                   8                   7                   0                   3                   6                   
Vardas93                                Pavarde93                               9                   1                   4                   1                   4                   6                   1                   0                   
Vardas94                                Pavarde94                               2                   4                   0                   4                   3                   1                   7                   9                   
Vardas95                                Pavarde95                               4                   7                   0                   1                   1                   5                   2                   2                   
Vardas96                                Pavarde96                               2                   4                   9                   7                   7                   2                   0                   9                   
Vardas97                                Pavarde97                               0                   7                   1                   6                   0                   9                   2                   9                   
Vardas98                                Pavarde98                               6                   0                   2                   8                   4                   4                   8                   0                   
Vardas99                                Pavarde99                               1                   5                   1                   1                   1                   5                   1                   7                   
Vardas100                               Pavarde100                              0                   8                   5                   3                   7                   9                   6                   3                   
Vardas101                               Pavarde101                              1                   5                   8                   0                   9                   2                   4                   3                   
Vardas102                               Pavarde102                              3                   9                   0                   5                   5                   4                   4                   3                   
Vardas103                               Pavarde103                              8                   2                   2                   6                   4                   0                   0                   0                   
Vardas104                               Pavarde104                              8                   1                   7                   6                   7                   1                   4                   8                   
Vardas105                               Pavarde105                              1                   8                   5                   3                   1                   9                   3                   9                   
Vardas106                               Pavarde106                              1                   0                   4                   9                   0                   0                   0                   3                   
Vardas107                               Pavarde107                              2                   8                   2                   4                   8                   3                   5                   0                   
Vardas108                               Pavarde108                              0                   6                   7                   0                   7                   3                   3                   2                   
Vardas109                               Pavarde109                              1                   4                   0                   0                   8                   7                   3                   8                   
Vardas110                               Pavarde110                              4                   5                   2                   9                   0                   9                   8                   0                   
Vardas111                               Pavarde111                              5                   3                   5                   5                   4                   5                   1                   1                   
Vardas112                               Pavarde112                              6                   1                   9                   3                   4                   7                   9                   8                   
Vardas113                               Pavarde113                              0                   7                   5                   8                   4                   2                   5                   0                   
Vardas114                               Pavarde114                              7                   0                   7                   6                   8                   2                   3                   9                   
Vardas115                               Pavarde115                              0                   3                   8                   3                   1                   0                   0                   8                   
Vardas116                               Pavarde116                              0                   4                   7                   6                   1                   6                   1                   4                   
Vardas117                               Pavarde117                              9                   6                   4                   2                   8                   4                   4                   9                   
Vardas118                               Pavarde118                              8                   1                   0                   3                   7                   4                   3                   4                   
Vardas119                               Pavarde119                              8                   1                   2                   8                   3                   9                   9                   9                   
Vardas120                               Pavarde120                              6                   1                   7                   3                   9                   8                   4                   0                   
Vardas121                               Pavarde121                              6                   3                   4                   6                   9                   7                   4                   9                   
Vardas122                               Pavarde122                              4                   1                   9                   6                   7                   0                   9                   7                   
Vardas123                               Pavarde123                              3                   1                   5                   6                   4                   5                   1                   2                   
Vardas124                               Pavarde124                              8                   8                   0                   7                   7                   9                   6                   0                   
Vardas125                               Pavarde125                              1                   2                   3                   2                   1                   1                   0                   1                   
Vardas126                               Pavarde126                              3                   8                   0                   0                   9                   4                   2                   4                   
Vardas127                               Pavarde127                              0                   2                   9                   7                   9                   2                   2                   3                   
Vardas128                               Pavarde128                              1                   3                   2                   1                   6                   8                   1                   0                   
Vardas129                               Pavarde129                              6                   0                   4                   9                   9                   4                   5                   0                   
Vardas130                               Pavarde130                              6                   9                   0                   8                   8                   2                   8                   0                   
Vardas131                               Pavarde131                              2                   0                   9                   5                   3                   5                   9                   8                   
Vardas132                               Pavarde132                              9                   1                   2                   8                   4                   0                   1                   0                   
Vardas133                               Pavarde133                              8                   1                   4                   9                   5                   9                   0                   2                   
Vardas134                               Pavarde134                              3                   5                   9                   0                   1                   3                   6                   9                   
Vardas135                               Pavarde135                              0                   4                   0                   2                   4                   4                   1                   9                   
Vardas136                               Pavarde136                              0                   2                   1                   5                   4                   9                   0                   2                   
Vardas137                               Pavarde137                              0                   3                   8                   2                   1                   6                   8                   3                   
Vardas138                               Pavarde138                              2                   9                   7                   3                   4                   8                   6                   1                   
Vardas139                               Pavarde139                              1                   5                   6                   9                   8                   0                   2                   2                   
Vardas140                               Pavarde140                              6                   7                   6                   1                   2                   1                   3                   6                   
Vardas141                               Pavarde141                              5                   7                   3                   6                   3                   2                   5                   0                   
Vardas142                               Pavarde142                              3                   7                   3                   5                   9                   1                   8                   4                   
Vardas143                               Pavarde143                              0                   8                   9                   5                   8                   2                   3                   2                   
Vardas144                               Pavarde144                              6                   6                   6                   3                   4                   4                   2                   9                   
Vardas145                               Pavarde145                              2                   8                   9                   2                   5                   6                   7                   2                   
Vardas146                               Pavarde146                              8                   0                   0                   8                   2                   5                   8                   0                   
Vardas147                               Pavarde147                              3                   2                   3                   3                   2                   1                   9                   1                   
Vardas148                               Pavarde148                              6                   3                   9                   1                   7                   9                   6                   6                   
Vardas149                               Pavarde149                              6                   4                   4                   4                   5                   7                   6                   7                   
Vardas150                               Pavarde150                              7                   0                   2                   1                   1                   4                   3                   7                   
Vardas151                               Pavarde151                              4                   4                   3                   0                   7                   9                   9                   9                   
Vardas152                               Pavarde152                              4                   4                   1                   2                   9                   4                   7                   3                   
Vardas153                               Pavarde153                              0                   9                   0                   3                   1                   1                   5                   3                   
Vardas154                               Pavarde154                              9                   6                   3                   1                   8                   1                   3                   0                   
Vardas155                               Pavarde155                              8                   7                   6                   2                   9                   1                   4                   1                   
Vardas156                               Pavarde156                              2                   5                   0                   4                   2                   6                   7                   6                   
Vardas157                               Pavarde157                              3                   4                   1                   9                   5                   9                   8                   8                   
Vardas158                               Pavarde158                              8                   7                   3                   8                   8                   9                   6                   8                   
Vardas159                               Pavarde159                              6                   9                   5                   9                   6                   8                   6                   9                   
Vardas160                               Pavarde160                              4                   7                   6                   8                   1                   3                   8                   0                   
Vardas161                               Pavarde161                              8                   1                   1                   8                   7                   6                   1                   8                   
Vardas162                               Pavarde162                              8                   3                   5                   6                   8                   8                   9                   9                   
Vardas163                               Pavarde163                              3                   7                   2                   3                   8                   3                   5                   1                   
Vardas164                               Pavarde164                              5                   4                   2                   2                   9                   1                   5                   8                   
Vardas165                               Pavarde165                              8                   0                   4                   0                   8                   5                   5                   9                   
Vardas166                               Pavarde166                              5                   7                   7                   3                   7                   6                   4                   3                   
Vardas167                               Pavarde167                              5                   4                   5                   6                   9                   4                   3                   6                   
Vardas168                               Pavarde168                              3                   4                   7                   4                   0                   7                   5                   0                   
Vardas169                               Pavarde169                              2                   5                   4                   2                   1                   5                   1                   6                   
Vardas170                               Pavarde170                              0                   0                   2                   3                   0                   5                   0                   5                   
Vardas171                               Pavarde171                              7                   4                   8                   0                   6                   0                   5                   9                   
Vardas172                               Pavarde172                              2                   8                   3                   7                   6                   2                   9                   8                   
Vardas173                               Pavarde173                              5                   9                   2                   5                   5                   9                   1                   1                   
Vardas174                               Pavarde174                              4                   4                   2                   6                   3                   6                   9                   1                   
Vardas175                               Pavarde175                              0                   4                   5                   8                   2                   1                   6                   0                   
Vardas176                               Pavarde176                              8                   4                   7                   8                   1                   7                   0                   4                   
Vardas177                               Pavarde177                              6                   9                   5                   3                   2                   9                   4                   1                   
Vardas178                               Pavarde178                              6                   6                   0                   2                   3                   3                   5                   8                   
Vardas179                               Pavarde179                              1                   8                   1                   1                   3                   0                   7                   2                   
Vardas180                               Pavarde180                              3                   5                   8                   3                   5                   6                   1                   7                   
Vardas181                               Pavarde181                              9                   2                   4                   8                   3                   9                   6                   4                   
Vardas182                               Pavarde182                              7                   7                   3                   1                   7                   4                   9                   6                   
Vardas183                               Pavarde183                              9                   8                   0                   3                   6                   6                   5                   4                   
Vardas184                               Pavarde184                              2                   3                   1                   2                   1                   2                   5                   6                   
Vardas185                               Pavarde185                              4                   8                   0                   1                   0                   5                   4                   2                   
Vardas186                               Pavarde186                              6                   7                   9                   5                   9                   1                   0                   8                   
